strain,date,url,mutational_fitness,S1_mutations,country,recency,pango_lineage,emerging_lineage,region,clade_membership,genbank_accession,current_frequency,division,epiweek,host,author,accession,submitting_lab,originating_lab,logistic_growth
KEN/S109/2020,3/24/20,,-0.09,,Kenya,Older,B.4.7,,Africa,19A,OL913329,,Kenya,202013,Homo sapiens,Githinji et al C,,,,
NZL/20VR0174/2020,2/28/20,,-0.11,,New Zealand,Older,B.4,,Oceania,19A,MZ331872,,New Zealand,202009,Homo sapiens,Geoghegan et al A,,Institute of Environmental Science and Research,,
AUS/VIC1114/2020,4/8/20,,-0.1,,Australia,Older,B.4.5,,Oceania,19A,MT451753,,Victoria,202015,Homo sapiens,Seemann et al I,,The Peter Doherty Institute for Infection and Immunity,Victorian Infectious Diseases Reference Laboratory (VIDRL),
AUS/VIC1342/2020,4/15/20,,-0.11,,Australia,Older,B.4.5,,Oceania,19A,MT641758,,Victoria,202016,Homo sapiens,Caly et al M,,The Peter Doherty Institute for Infection and Immunity,Microbiological Diagnostic Unit Public Health Laboratory,
IRN/12624/2020,4/29/20,,-0.29,,Iran,Older,B.4,,Asia,19A,MZ359830,,Iran,202018,Homo sapiens,Azadmanesh et al,,,,
GEO/MM001523/2020,4/5/20,,-0.11,,Georgia,Older,B.4,,Asia,19A,MT291843,,Georgia (Asia),202014,Homo sapiens,Murtskhvaladze et al,,,,
IRN/COVID19-IRVSH3/2020,5/2/20,,-0.11,1,Iran,Older,B.4,,Asia,19A,MT994286,,Iran,202018,Homo sapiens,Shahabzadeh et al,,,,
Iceland/13/2020,2/28/20,,-0.07,1,Iceland,Older,B,,Europe,19A,OU161584,,Iceland,202009,Homo sapiens,Jonsson et al A,,DECODE GENETICS,The National University Hospital of Iceland,
ITA/INMI2-B/2020,2/4/20,,-0.1,,Italy,Older,B,,Europe,19A,MT509653,,Lazio,202006,Homo sapiens,Rueca et al,,,,
GEO/MM202054/2020,2/28/20,,-0.1,,Georgia,Older,B,,Asia,19A,MT231246,,Georgia (Asia),202009,Homo sapiens,Kotorashvili et al B,,,,
KOR/BA-ACH_2718/2020,3/1/20,,-0.05,,South Korea,Older,B.41,,Asia,19A,MT304475,,South Korea,202009,Homo sapiens,Queen et al B,,,,
KEN/D6/2020,3/18/20,,-0.14,,Kenya,Older,B.40,,Africa,19A,MT549878,,Kenya,202012,Homo sapiens,Matoke-Muhia et al,,,,
Iceland/256/2020,3/18/20,,-0.14,,Iceland,Older,B.40,,Europe,19A,OU161885,,Iceland,202012,Homo sapiens,Jonsson et al B,,DECODE GENETICS,The National University Hospital of Iceland,
GRC/52_37266/2020,4/2/20,,-0.14,,Greece,Older,B.40,,Europe,19A,MT459924,,Athens,202014,Homo sapiens,Kassela et al A,,,,
POL/PL_MCB_78/2020,4/8/20,,-0.13,,Poland,Older,B.40,,Europe,19A,MW273860,,Poland,202015,Homo sapiens,Kowalski et al A,,,,
NZL/20VR0635/2020,3/18/20,,-0.1,,New Zealand,Older,B.31,,Oceania,19A,MZ331883,,New Zealand,202012,Homo sapiens,Geoghegan et al B,,Institute of Environmental Science and Research,,
NZL/20VR1619/2020,3/24/20,,-0.06,,New Zealand,Older,B.31,,Oceania,19A,MZ331955,,New Zealand,202013,Homo sapiens,Geoghegan et al C,,Institute of Environmental Science and Research,,
NZL/20VR1763/2020,3/26/20,,-0.06,,New Zealand,Older,B.31,,Oceania,19A,OK426528,,Southland,202013,Homo sapiens,Ren et al N,,Institute of Environmental Science and Research,Southern Community Labs Dunedin,
NZL/20VR1785/2020,3/27/20,,-0.06,,New Zealand,Older,B.31,,Oceania,19A,OK426729,,Southland,202013,Homo sapiens,Ren et al O,,Institute of Environmental Science and Research,Southern Community Labs Dunedin,
USA/ID-UW-3892/2020,3/27/20,,-0.1,,USA,Older,B.30,,North America,19A,MT358709,,Idaho,202013,Homo sapiens,Roychoudhury et al A,,,,
JOR/SEARCH-0037-JOR/2020,3/17/20,,-0.1,,Jordan,Older,B.28,,Asia,19A,MT811549,,Amman,202012,Homo sapiens,Abu-Dayyeh et al A,,The Scripps Research Institute,Biolab Diagnostic Laboratories,
JOR/SEARCH-0338-JOR/2020,4/7/20,,-0.1,,Jordan,Older,B.28,,Asia,19A,MT811570,,Amman,202015,Homo sapiens,Abu-Dayyeh et al B,,The Scripps Research Institute,Biolab Diagnostic Laboratories,
England/BRIS-12C3D7/2020,5/12/20,,-0.1,,United Kingdom,Older,B.28,,Europe,19A,FR998762,,England,202020,Homo sapiens,Hutchings et al,,Wellcome Sanger Institute,"PHE South West Regional Laboratory, National Infection Service",
TLS/TL25/2020,3/31/20,,-0.06,,Timor-Leste,Older,B.35,,Asia,19A,MT641778,,Timor-Leste,202014,Homo sapiens,Caly et al N,,The Peter Doherty Institute for Infection and Immunity,"National Health Laboratory, Timor-Leste",
Iceland/768/2020,4/7/20,,-0.06,,Iceland,Older,B.35,,Europe,19A,OU183168,,Iceland,202015,Homo sapiens,Jonsson et al C,,DECODE GENETICS,The National University Hospital of Iceland,
THA/SI204487-NT/2020,3/12/20,,-0.1,,Thailand,Older,B.58,,Asia,19A,MT447167,,Thailand,202011,Homo sapiens,Rodpan et al C,,,,
USA/CA-QDX-2006/2020,3/18/20,,-0.1,,USA,Older,B.58,,North America,19A,MW190738,,California,202012,Homo sapiens,Rosenthal et al E,,Quest Diagnostics,Quest Diagnostics,
BRA/SP02cc/2020,3/19/20,,-0.1,1,Brazil,Older,B,,South America,19A,MT350282,,Brazil,202012,Homo sapiens,Malta et al A,,,,
BRA/SP02/2020,2/29/20,,-0.1,,Brazil,Older,B,,South America,19A,MT126808,,Brazil,202009,Homo sapiens,Amgarten et al,,,,
PER/covper065/2020,3/17/20,,0,,Peru,Older,B,,South America,19A,MW030205,,Peru,202012,Homo sapiens,Juscamayta et al F,,,,
BRA/ICO1049/2020,4/23/20,,0.02,1,Brazil,Older,B,,South America,19A,MZ419863,,Brazil,202017,Homo sapiens,Temerozo et al A,,,,
AUS/NT42/2020,5/2/20,,0.02,1,Australia,Older,B,,Oceania,19A,MT641765,,Northern Territory,202018,Homo sapiens,Caly et al O,,The Peter Doherty Institute for Infection and Immunity,Royal Darwin Hospital Pathology,
DEU/BavPat1-ChVir929/2020,1/29/20,,0.02,1,Germany,Older,B.1,,Europe,19A,MT270101,,Bavaria,202005,Homo sapiens,Boehmer et al,,,,
Dominican_Republic/ICGEB_UNIBE258/2020,3/5/20,,-0.01,1,Dominican Republic,Older,B.1,,North America,19A,OK523388,,Dominican Republic,202010,Homo sapiens,Paulino-Ramirez et al,,,,
NZL/20CV0265/2020,3/17/20,,0.01,1,New Zealand,Older,B.1,,Oceania,19A,OK427031,,Taranaki,202012,Homo sapiens,Ren et al P,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
EGY/Egy-S016/2020,8/2/20,,-0.01,1,Egypt,Older,B.1,,Africa,19A,MT905428,,Egypt,202031,Homo sapiens,Seadawy et al A,,,,
EGY/EGY-MCL-ARC-VSVRI-ECRRM-151/2020,8/2/20,,-0.01,1,Egypt,Older,B.1,,Africa,19A,MW010028,,Egypt,202031,Homo sapiens,Seadawy et al B,,,,
EGY/EGY-117/2020,8/27/20,,-0.01,1,Egypt,Older,B.1,,Africa,19A,MT994957,,Egypt,202035,Homo sapiens,Seadawy et al C,,,,
EGY/EGY-102/2020,8/27/20,,-0.01,1,Egypt,Older,B.1,,Africa,19A,MT994942,,Egypt,202035,Homo sapiens,Seadawy et al D,,,,
NZL/20VR1956/2020,4/7/20,,0.03,1,New Zealand,Older,B.1.23,,Oceania,20A,MZ332099,,New Zealand,202015,Homo sapiens,Geoghegan et al D,,Institute of Environmental Science and Research,,
FIN/hCoV-19-Finland-FIN-25/2020,2/27/20,,0.06,3,Finland,Older,B.1,,Europe,20A,MZ934692,,Finland,202009,Homo sapiens,Smura et al A,,,,
PER/covper089/2020,3/21/20,,0.01,1,Peru,Older,B.1,,South America,20A,MW030225,,Peru,202012,Homo sapiens,Juscamayta et al G,,,,
PER/covper095/2020,4/2/20,,0.03,3,Peru,Older,B.1,,South America,20A,MW030231,,Peru,202014,Homo sapiens,Juscamayta et al H,,,,
SouthAfrica/NHLS-UCT-GS-0048/2020,3/23/20,,0.04,1,South Africa,Older,B.1,,Africa,20A,OM725341,,South Africa,202013,Homo sapiens,Tegally et al A,,,,
SouthAfrica/NHLS-UCT-GS-0057/2020,3/25/20,,0.04,1,South Africa,Older,B.1,,Africa,20A,OM725345,,South Africa,202013,Homo sapiens,Tegally et al B,,,,
Switzerland/AG-SNRCI-29940361/2020,2/28/20,,0.05,1,Switzerland,Older,B.1,,Europe,20A,FR993306,,Aargau,202009,Homo sapiens,? A,,HUG,"Laboratoire de virologie,Rue Gabrielle Perret-Gentil 4, Geneva",
PER/covper034/2020,5/5/20,,0.07,1,Peru,Older,B.1,,South America,20A,MW030265,,Peru,202019,Homo sapiens,Juscamayta et al I,,,,
PER/covper012/2020,7/5/20,,0.08,1,Peru,Older,B.1,,South America,20A,MW030243,,Peru,202027,Homo sapiens,Juscamayta et al J,,,,
ITA/43950/2020,3/19/20,,0.05,1,Italy,Older,B.1,,Europe,20A,MT483879,,Italy,202012,Homo sapiens,Bagnarelli et al,,,,
GAB/101L_Gabon/2020,4/21/20,,0.06,1,Gabon,Older,B.1,,Africa,20A,OM731981,,Gabon,202017,Homo sapiens,Lekana-Douki et al B,,,,
GAB/64L_Gabon/2020,4/21/20,,0.06,1,Gabon,Older,B.1,,Africa,20A,OM731979,,Gabon,202017,Homo sapiens,Lekana-Douki et al C,,,,
PER/covper091/2020,3/18/20,,0.07,2,Peru,Older,B.1.205,,South America,20A,MW030227,,Peru,202012,Homo sapiens,Juscamayta et al K,,,,
PER/covper030/2020,5/3/20,,0.1,2,Peru,Older,B.1.205,,South America,20A,MW030261,,Peru,202018,Homo sapiens,Juscamayta et al L,,,,
PER/covper020/2020,7/4/20,,0.1,1,Peru,Older,B.1.205,,South America,20A,MW030251,,Peru,202027,Homo sapiens,Juscamayta et al M,,,,
PER/covper013/2020,7/5/20,,0.1,2,Peru,Older,B.1.205,,South America,20A,MW030244,,Peru,202027,Homo sapiens,Juscamayta et al N,,,,
PER/covper023/2020,7/5/20,,0.1,2,Peru,Older,B.1.205,,South America,20A,MW030254,,Peru,202027,Homo sapiens,Juscamayta et al O,,,,
PER/covper048/2020,6/25/20,,0.12,2,Peru,Older,B.1.205,,South America,20A,MW030279,,Peru,202026,Homo sapiens,Juscamayta et al P,,,,
USA/OH-UHTL-18/2020,4/4/20,,0,,USA,Older,B.1,,North America,20A,MW584978,,Ohio,202014,Homo sapiens,Sadri et al A,,,,
BRA/ICO1062/2020,5/1/20,,0.02,,Brazil,Older,B,,South America,20A,MZ419869,,Brazil,202018,Homo sapiens,Temerozo et al B,,,,
EGY/EGY_CCHE57357_A_69/2020,6/30/20,,0.02,,Egypt,Older,B,,Africa,20A,MW467474,,Egypt,202027,Homo sapiens,Hatem et al D,,,,
BRA/ICO1041/2020,4/18/20,,0.03,1,Brazil,Older,B.1,,South America,20A,MZ419860,,Brazil,202016,Homo sapiens,Temerozo et al C,,,,
BRA/ICO10202/2020,5/6/20,,0.03,1,Brazil,Older,B.1,,South America,20A,MZ419858,,Brazil,202019,Homo sapiens,Temerozo et al D,,,,
BRA/ICO10208/2020,5/6/20,,0.03,1,Brazil,Older,B.1,,South America,20A,MZ419859,,Brazil,202019,Homo sapiens,Temerozo et al E,,,,
BRA/ICO1068/2020,5/6/20,,0.03,1,Brazil,Older,B.1,,South America,20A,MZ419873,,Brazil,202019,Homo sapiens,Temerozo et al F,,,,
BRA/ICO1065/2020,5/1/20,,0.03,1,Brazil,Older,B.1,,South America,20A,MZ419871,,Brazil,202018,Homo sapiens,Temerozo et al G,,,,
GHA/2853_S7/2020,3/30/20,,0.03,1,Ghana,Older,B.1,,Africa,20A,MT890249,,Ghana,202014,Homo sapiens,Ngoi et al D,,,,
MLI/UCRC68/2020,3/19/20,,0.03,1,Mali,Older,B.1,,Africa,20A,MW474739,,Mali,202012,Homo sapiens,Diarra et al B,,,,
MAR/RMPS04/2020,3/31/20,,0.03,1,Morocco,Older,B.1,,Africa,20A,MT731327,,Morocco,202014,Homo sapiens,Laamarti et al A,,,,
MAR/RMPS03/2020,4/4/20,,0.03,1,Morocco,Older,B.1,,Africa,20A,MT731673,,Morocco,202014,Homo sapiens,Laamarti et al B,,,,
FIN/FIN-UH25M-C1P1/2020,3/27/20,,0.03,1,Finland,Older,B.1,,Europe,20A,MZ962407,,Finland,202013,Homo sapiens,Smura et al B,,,,
POL/PL_MCB_91/2020,5/11/20,,0.03,1,Poland,Older,B.1.213,,Europe,20A,MW273873,,Poland,202020,Homo sapiens,Kowalski et al B,,,,
GIN/C3/2020,6/15/20,,0,1,Guinea,Older,B.1.1,,Africa,20A,MZ604340,,Guinea,202025,Homo sapiens,Krasnov et al A,,,,
GIN/C1/2020,5/15/20,,0.02,1,Guinea,Older,B.1,,Africa,20A,MZ619091,,Guinea,202020,Homo sapiens,Krasnov et al B,,,,
GIN/C2/2020,5/14/20,,0.02,1,Guinea,Older,B.1,,Africa,20A,MZ622025,,Guinea,202020,Homo sapiens,Krasnov et al C,,,,
NZL/20CV0296/2020,3/27/20,,0.03,1,New Zealand,Older,B.1.545,,Oceania,20A,OK426980,,Auckland,202013,Homo sapiens,Ren et al Q,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
TUN/COV1663/2020,4/2/20,,0.03,2,Tunisia,Older,B.1,,Africa,20A,MT499218,,Tunisia,202014,Homo sapiens,Fares et al B,,,,
USA/HI-QDX-758/2020,3/20/20,,0.03,1,USA,Older,B.1,,North America,20A,MW064825,,Hawaii,202012,Homo sapiens,Rosenthal et al F,,Quest Diagnostics,Quest Diagnostics,
ISR/hCov-19-Israel-CVL-n2888/2020,3/9/20,,0.03,1,Israel,Older,B.1,,Asia,20A,MW672654,,Israel,202011,Homo sapiens,Zuckerman et al A,,,,
BEN/1022/2020,3/26/20,,-0.01,1,Benin,Older,B.1,,Africa,20A,MT653075,,Benin,202013,Homo sapiens,Sander et al E,,,,
Feliscatus/BEL/BE-MG-0320/2020,3/12/20,,0.03,1,Belgium,Older,B.1,,Europe,20A,MT747438,,Belgium,202011,Felis catus,Garigliany et al,,,,
GAB/16601_Gabon/2021,3/23/21,,0.32,8,Gabon,Older,B.1,,Africa,20A,OM732002,,Gabon,202112,Homo sapiens,Lekana-Douki et al D,,,,
OU077172,12/12/20,,0.08,2,Germany,Older,B.1.221.2,,Europe,20A,OU077172,,North Rhine Westphalia,202050,Homo sapiens,? B,,Robert Koch Institute,"Labor ZOTZ|KLIMAS; MVZ Düsseldorf-Centrum, Immermannstr. 65a; 40210 Düsseldorf",
England/QEUH-964520/2020,8/12/20,,0.07,2,United Kingdom,Older,B.1.221,,Europe,20A,OA971043,,England,202033,Homo sapiens,VanSteenhouse et al A,,Wellcome Sanger Institute,Lighthouse Lab in Glasgow,
OU077004,9/17/20,,0.08,2,Germany,Older,B.1.221,,Europe,20A,OU077004,,North Rhine Westphalia,202038,Homo sapiens,? B,,Robert Koch Institute,"Labor ZOTZ|KLIMAS; MVZ Düsseldorf-Centrum, Immermannstr. 65a; 40210 Düsseldorf",
AUS/NT13/2020,3/26/20,,0.03,1,Australia,Older,B.1,,Oceania,20A,MT641658,,Northern Territory,202013,Homo sapiens,Caly et al P,,The Peter Doherty Institute for Infection and Immunity,Royal Darwin Hospital Pathology,
UGA/MAKCHScov19/2020,10/23/20,,0.08,1,Uganda,Older,B.1.214,,Africa,20A,MZ287360,,Uganda,202043,Homo sapiens,Mwesigwa et al F,,,,
NZL/20CV0574/2020,11/18/20,,0.13,1,New Zealand,Older,B.1.214,,Oceania,20A,OK427121,,Auckland,202047,Homo sapiens,Ren et al R,,Institute of Environmental Science and Research,LabPLUS,
Bangladesh/ECHD_00063/2020,4/26/20,,0.02,2,Bangladesh,Older,B.1,,Asia,20A,LC647128,,Dhaka,202017,Homo sapiens,Yamagishi et al,,,,
GAB/5729_Gabon/2021,6/3/21,,0.43,10,Gabon,Older,B.1.620,,Africa,20A,OM732182,,Gabon,202122,Homo sapiens,Lekana-Douki et al E,,,,
England/CAMB-84769/2020,2/29/20,,0.04,1,United Kingdom,Older,B.1,,Europe,20A,FR996779,,England,202009,Homo sapiens,Meredith et al,,Wellcome Sanger Institute,"Department of Pathology, University of Cambridge",
POL/PL_MCB_25/2020,3/29/20,,0.04,1,Poland,Older,B.1,,Europe,20A,MW273807,,Poland,202013,Homo sapiens,Kowalski et al C,,,,
USA/IA-CDC-03068851-001/2020,3/9/20,,0.03,1,USA,Older,B.1,,North America,20A,MT325576,,Iowa,202011,Homo sapiens,Li et al C,,,,
USA/RML-22/2020,8/31/20,,0.03,2,USA,Older,B.1.126,,North America,20A,MW221270,,Montana,202036,Homo sapiens,van Doremalen et al,,,,
USA/MA-MGH-01132/2020,5/3/20,,-0.08,1,USA,Older,B.1.104,,North America,20A,MT873335,,Massachusetts,202018,Homo sapiens,Lemieux et al A,,,Massachusetts Department of Public Health,
EGY/EGY_CCHE57357_A_08/2020,5/8/20,,0.01,1,Egypt,Older,B.1,,Africa,20A,MW467424,,Egypt,202019,Homo sapiens,Hatem et al E,,,,
EGY/EGY_CCHE57357_P_45/2020,6/27/20,,0,1,Egypt,Older,B.1,,Africa,20A,MW467507,,Egypt,202026,Homo sapiens,Hatem et al F,,,,
EGY/CUNCI-HGC10I004/2020,12/26/20,,0.04,2,Egypt,Older,B.1,,Africa,20A,MW504761,,Egypt,202052,Homo sapiens,Zekri et al B,,,,
EGY/CPHL-NRC-6/2020,3/16/20,,0.03,1,Egypt,Older,B.1,,Africa,20A,MW451619,,Egypt,202012,Homo sapiens,El-Shesheny et al,,,,
SLE/KGH-G-8627/2020,4/9/20,,0.03,1,Sierra Leone,Older,B.1.379,,Africa,20A,MT872495,,Sierra Leone,202015,Homo sapiens,Goba et al C,,Kenema Government Hospital,Kenema Government Hospital,
OU471415,12/30/20,,0.06,2,Italy,Older,B.1.177,,Europe,20A,OU471415,,Friuli Venezia Giulia,202053,Homo sapiens,Bazzocchi et al,,federica bazzocchi,ARGO Laboratorio Genomica ed Epigenomica,
TWN/CGMH-CGU-32/2020,9/7/20,,0.07,4,Taiwan,Older,B.1.177,,Asia,20A,MW356785,,Taiwan,202037,Homo sapiens,Tsao et al D,,,,
OU471453,11/28/20,,0.06,3,Italy,Older,B.1.177,,Europe,20A,OU471453,,Friuli Venezia Giulia,202048,Homo sapiens,Bazzocchi et al,,federica bazzocchi,ARGO Laboratorio Genomica ed Epigenomica,
Northern_Ireland/QEUH-88255A/2020,7/27/20,,0.08,2,United Kingdom,Older,B.1.177,,Europe,20E (EU1),OA970016,,Northern Ireland,202031,Homo sapiens,VanSteenhouse et al A,,Wellcome Sanger Institute,Lighthouse Lab in Glasgow,
TUN/TUN-202019695/2020,7/13/20,,0.09,2,Tunisia,Older,B.1.177,,Africa,20E (EU1),MW404673,,Tunisia,202029,Homo sapiens,Boutiba-Ben Boubaker et al A,,,,
TUN/TUN-202055262/2020,11/3/20,,0.07,2,Tunisia,Older,B.1.177,,Africa,20E (EU1),MW295640,,Tunisia,202045,Homo sapiens,Boutiba-Ben Boubaker et al B,,,,
TUN/TUN-202063686/2020,12/2/20,,0.08,2,Tunisia,Older,B.1.177,,Africa,20E (EU1),MW404672,,Tunisia,202049,Homo sapiens,Boutiba-Ben Boubaker et al C,,,,
TUN/TUN-20212285/2021,1/9/21,,0.07,2,Tunisia,Older,B.1.177,,Africa,20E (EU1),MW463452,,Tunisia,202101,Homo sapiens,Boutiba-Ben Boubaker et al D,,,,
TUN/TUN_ADAGE_29-18503/2020,10/20/20,,0.08,2,Tunisia,Older,B.1.177,,Africa,20E (EU1),MW452536,,Tunisia,202043,Homo sapiens,Souissi et al A,,,,
TUN/TUN-20211241/2021,1/7/21,,0.1,2,Tunisia,Older,B.1.177,,Africa,20E (EU1),MW454128,,Tunisia,202101,Homo sapiens,Boutiba-Ben Boubaker et al E,,,,
TUN/TUN-20211890/2021,1/8/21,,0.11,2,Tunisia,Older,B.1.177,,Africa,20E (EU1),MW463889,,Tunisia,202101,Homo sapiens,Boutiba-Ben Boubaker et al F,,,,
NZL/20CV0617/2020,10/25/20,,0.08,2,New Zealand,Older,B.1.177,,Oceania,20E (EU1),OK426943,,Auckland,202043,Homo sapiens,Ren et al S,,Institute of Environmental Science and Research,LabPLUS,
Switzerland/BL-ETHZ-380268/2020,11/23/20,,0.08,2,Switzerland,Older,B.1.177.43,,Europe,20E (EU1),OE995417,,Basel-Land,202048,Homo sapiens,? C,,ETH ZURICH D-BSSE,"Computational evolution group,Mattenstrasse 26, Basel",
Iceland/5990/2020,12/11/20,,0.07,2,Iceland,Older,B.1.177.44,,Europe,20E (EU1),OU168137,,Iceland,202050,Homo sapiens,Jonsson et al D,,DECODE GENETICS,deCODE genetics,
IRL/AIIDV1446/2020,12/4/20,,0.09,3,Ireland,One month ago,B.1.177.18,,Europe,20E (EU1),ON350866,,Dublin,202049,Homo sapiens,O Reilly et al A,,,,
Iceland/4549/2020,9/21/20,,0.09,2,Iceland,Older,B.1.177.45,,Europe,20E (EU1),OU165897,,Iceland,202039,Homo sapiens,Jonsson et al E,,DECODE GENETICS,The National University Hospital of Iceland,
Iceland/4569/2020,10/24/20,,0.08,2,Iceland,Older,B.1.177.45,,Europe,20E (EU1),OU165927,,Iceland,202043,Homo sapiens,Jonsson et al F,,DECODE GENETICS,deCODE genetics,
Iceland/6502/2020,11/6/20,,0.08,2,Iceland,Older,B.1.177.45,,Europe,20E (EU1),OU168918,,Iceland,202045,Homo sapiens,Jonsson et al G,,DECODE GENETICS,deCODE genetics,
ESP/HUD-79063186/2020,8/9/20,,0.07,2,Spain,Older,B.1.177,,Europe,20E (EU1),MW056034,,Spain,202032,Homo sapiens,Cilla et al,,,,
ITA/201112-33/2020,10/31/20,,0.11,2,Italy,Older,B.1.177.52,,Europe,20E (EU1),OL989066,,Italy,202044,Homo sapiens,Zhao et al A,,,,
OU077123,11/12/20,,0.1,2,Germany,Older,B.1.177.52,,Europe,20E (EU1),OU077123,,North Rhine Westphalia,202046,Homo sapiens,? B,,Robert Koch Institute,"Labor ZOTZ|KLIMAS; MVZ Düsseldorf-Centrum, Immermannstr. 65a; 40210 Düsseldorf",
NZL/20CV0588/2020,11/20/20,,0.09,2,New Zealand,Older,B.1.177.81,,Oceania,20E (EU1),OK426409,,Auckland,202047,Homo sapiens,Ren et al T,,Institute of Environmental Science and Research,LabPLUS,
Switzerland/BE-ETHZ-560509/2020,12/17/20,,0.08,4,Switzerland,Older,B.1.177.81,,Europe,20E (EU1),OU175550,,Bern,202051,Homo sapiens,? D,,ETH ZURICH D-BSSE,"Department of Biosystems Science and Engineering, ETH Zürich,Mattenstrasse 26, 4058 Basel, Switzerland",
Lebanon/QIB-43/2021,1/8/21,,0.09,2,Lebanon,Older,B.1.177.53,,Asia,20E (EU1),OU608006,,Lebanon,202101,Homo sapiens,Tiwari et al A,,Quadram Institute Bioscience,Laboratory of Molecular Biology and Cancer Immunology,
TUN/TUN-202069681/2020,12/25/20,,0.11,4,Tunisia,Older,B.1.177.6,,Africa,20E (EU1),MW456917,,Tunisia,202052,Homo sapiens,Boutiba-Ben Boubaker et al G,,,,
Estonia/Cov7298/2021,1/3/21,,0.1,3,Estonia,Older,B.1.177,,Europe,20E (EU1),OU278660,,Estonia,202053,Homo sapiens,Avi et al A,,"Institute of Biomedicine and Translational Medicine, University of Tartu",,
OU080510,1/24/21,,0.09,3,Germany,Older,B.1.177.86,,Europe,20E (EU1),OU080510,,Saxony,202103,Homo sapiens,? B,,Robert Koch Institute,"Bioscientia Labor Wermsdorf, 04688 Wermsdorf",
England/QEUH-AE2BCD/2020,10/28/20,,0.1,3,United Kingdom,Older,B.1.177,,Europe,20E (EU1),OB989556,,England,202044,Homo sapiens,VanSteenhouse et al A,,Wellcome Sanger Institute,Lighthouse Lab in Glasgow,
England/MILK-C0066C/2020,12/3/20,,0.1,3,United Kingdom,Older,B.1.177,,Europe,20E (EU1),OD908455,,England,202049,Homo sapiens,The Lighthouse Lab in Milton et al A,,Wellcome Sanger Institute,Lighthouse Lab in Milton Keynes,
NZL/20CV0290/2020,3/27/20,,0.03,1,New Zealand,Older,B.1,,Oceania,20A,OK426913,,Canterbury,202013,Homo sapiens,Ren et al U,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
NGA/BCVL-24951/2021,3/11/21,,0.43,7,Nigeria,Older,B.1.525,,Africa,20A,OL601851,,Oyo State,202110,Homo sapiens,Lorenzo-Redondo et al A,,,,
MLI/MAL0119/2021,3/31/21,,0.38,7,Mali,Older,B.1.525,,Africa,21D (Eta),OL601940,,Bamako,202113,Homo sapiens,Lorenzo-Redondo et al B,,,,
MLI/MAL0133/2021,4/5/21,,0.39,8,Mali,Older,B.1.525,,Africa,21D (Eta),OL601951,,Bamako,202114,Homo sapiens,Lorenzo-Redondo et al C,,,,
NGA/BCVL-20781/2021,1/17/21,,0.44,8,Nigeria,Older,B.1.525,,Africa,21D (Eta),OL601927,,Oyo State,202102,Homo sapiens,Lorenzo-Redondo et al D,,,,
NGA/BCVL-24703/2021,3/3/21,,0.44,7,Nigeria,Older,B.1.525,,Africa,21D (Eta),OL601845,,Oyo State,202109,Homo sapiens,Lorenzo-Redondo et al E,,,,
MLI/MAL0113/2021,4/1/21,,0.39,7,Mali,Older,B.1.525,,Africa,21D (Eta),OL601934,,Bamako,202113,Homo sapiens,Lorenzo-Redondo et al F,,,,
NGA/BCVL-22320/2021,2/3/21,,0.32,6,Nigeria,Older,B.1.525,,Africa,21D (Eta),OL601711,,Oyo State,202105,Homo sapiens,Lorenzo-Redondo et al G,,,,
TGO/nmimr-TG-SARS-CoV-2-TGS-052-21/2021,2/21/21,,0.41,7,Togo,Older,B.1.525,,Africa,21D (Eta),MZ215670,,Togo,202107,Homo sapiens,Halatoko et al A,,,,
LBY/BTRCLibyaSARS-CoV-2WGS-27/2021,2/26/21,,0.39,6,Libya,Older,B.1.525,,Africa,21D (Eta),MZ054883,,Libya,202108,Homo sapiens,Alhudiri et al A,,,,
LBY/BTRCLibyaSARS-CoV-2WGS-32/2021,2/26/21,,0.4,7,Libya,Older,B.1.525,,Africa,21D (Eta),MZ054888,,Libya,202108,Homo sapiens,Alhudiri et al B,,,,
CAN/Eta_NML_P2/2021,5/4/21,,0.36,8,Canada,Older,B.1.525,,North America,21D (Eta),OM366052,,Canada,202118,Homo sapiens,Audet et al A,,,,
MLI/MAL0079/2021,4/10/21,,0.39,7,Mali,Older,B.1.525,,Africa,21D (Eta),OL601930,,Sikasso Region,202114,Homo sapiens,Lorenzo-Redondo et al H,,,,
